line;met;real;feet;feet_number;meter_quality;line_n;title;author;meter_nuber
Nature I loved, and, next to Nature, Art:;-+-+-+-+-+;+--+-+-+-+;Nature |I loved, |and, next |to Na|ture, Art:;pentameter;iambic;2;Dying Speech of an Old Philosopher(1849);Walter Savage Landor;
"I warm'd both hands before the fire of Life;";-+-+-+-+-+;-+++-+-+-+;"I warm'd |both hands |before |the fire |of Life;";pentameter;iambic;3;Dying Speech of an Old Philosopher(1849);Walter Savage Landor;
"It sinks; and I am ready to depart.";-+-+-+-+-+;-+-+-+-+-+|++-+-+---+;"It sinks; |and I |am read|y to |depart.";pentameter;iambic;4;Dying Speech of an Old Philosopher(1849);Walter Savage Landor;
"Come to me in the silence of the night;";-+-+-+-+-+;+--+-+-+-+;"Come to |me in |the si|lence of |the night;";pentameter;iambic;1;Echo(1862);Christina Rossetti;
"Come in the speaking silence of a dream;";-+-+-+-+-+;+--+-+-+-+;"Come in |the speak|ing si|lence of |a dream;";pentameter;iambic;2;Echo(1862);Christina Rossetti;
Come with soft rounded cheeks and eyes as bright;-+-+-+-+-+;+-++-+-+-+;Come with |soft round|ed cheeks |and eyes |as bright;pentameter;iambic;3;Echo(1862);Christina Rossetti;
"As sunlight on a stream;";-+-+-+;-+-+-+;"As sun|light on |a stream;";trimeter;iambic;4;Echo(1862);Christina Rossetti;
Come back in tears,;-+-+;-+-+;Come back |in tears,;;iambic;5;Echo(1862);Christina Rossetti;dimeter
O memory, hope and love of finished years.;-+-+-+-+-+;-+--+-+-+-+;O mem|ory, hope |and love |of fin|ished years.;pentameter;iambic;6;Echo(1862);Christina Rossetti;
O dream how sweet, too sweet, too bitter-sweet,;-+-+-+-+-+;-+-+++-+-+|-+++++-+-+|-+++++++-+;O dream |how sweet, |too sweet, |too bit|ter-sweet,;pentameter;iambic;7;Echo(1862);Christina Rossetti;
Whose wakening should have been in Paradise,;-+-+-+-+-+;-+--+-+-+-+;Whose wak|ening should |have been |in Par|adise,;pentameter;iambic;8;Echo(1862);Christina Rossetti;
"Where souls brim-full of love abide and meet;";-+-+-+-+-+;-+++-+-+-+;"Where souls |brim-full |of love |abide |and meet;";pentameter;iambic;9;Echo(1862);Christina Rossetti;
Where thirsting longing eyes;-+-+-+;-+-+-+;Where thirst|ing long|ing eyes;trimeter;iambic;10;Echo(1862);Christina Rossetti;
Watch the slow door;-+-+;+-++;Watch the |slow door;;iambic;11;Echo(1862);Christina Rossetti;dimeter
That opening,  letting in, lets out no more.;-+-+-+-+-+;-+--+-+-+++|-+--+-+-+-+;That o|pening,  let|ting in, |lets out |no more.;pentameter;iambic;12;Echo(1862);Christina Rossetti;
Yet come to me in dreams, that I may live;-+-+-+-+-+;-+-+-+-+-+;Yet come |to me |in dreams, |that I |may live;pentameter;iambic;13;Echo(1862);Christina Rossetti;
"My very life again though cold in death;";-+-+-+-+-+;-+-+-+-+-+;"My ver|y life |again |though cold |in death;";pentameter;iambic;14;Echo(1862);Christina Rossetti;
Come back to me in dreams, that I may give;-+-+-+-+-+;-+-+-+-+-+;Come back |to me |in dreams, |that I |may give;pentameter;iambic;15;Echo(1862);Christina Rossetti;
Pulse for pulse,  breath for breath:;-+-+-+;+-++-+;Pulse for |pulse,  breath |for breath:;trimeter;iambic;16;Echo(1862);Christina Rossetti;
Speak low, lean low,;-+-+;++++;Speak low, |lean low,;;iambic;17;Echo(1862);Christina Rossetti;dimeter
As long ago, my love, how long ago.;-+-+-+-+-+;-+-+-+-+-+;As long |ago, |my love, |how long |ago.;pentameter;iambic;18;Echo(1862);Christina Rossetti;
Who would I show it to ;-+-+-+;+--+-+|-+-+-+;Who would |I show |it to ;trimeter;iambic;1;Elegy(1970?);W. S. Merwin;
"Long lines of cliff breaking have left a chasm;";-+-+-+-+-+;++-++--+-+-;"Long lines |of cliff |breaking |have left |a chasm;";pentameter;iambic;1;Enoch Arden(1859);Alfred Lord Tennyson;
"And in the chasm are foam and yellow sands;";-+-+-+-+-+;-+-+--+-+-+;"And in |the chas|m are foam |and yel|low sands;";pentameter;iambic;2;Enoch Arden(1859);Alfred Lord Tennyson;
Beyond red roofs about a narrow wharf;-+-+-+-+-+;-+++-+-+-+;Beyond |red roofs |about |a nar|row wharf;pentameter;iambic;3;Enoch Arden(1859);Alfred Lord Tennyson;
"In cluster; then a mouldered church; and higher";-+-+-+-+-+;-+-+-+-+-+-;"In clus|ter; then |a moul|dered church; |and higher";pentameter;iambic;4;Enoch Arden(1859);Alfred Lord Tennyson;
"A long street climbs to one tall-towered mill;";-+-+-+-+-+;-+++-+++-+;"A long |street climbs |to one |tall-tow|ered mill;";pentameter;iambic;5;Enoch Arden(1859);Alfred Lord Tennyson;
And high in heaven behind it a gray down;-+-+-+-+-+;-+-+--+--++;And high |in hea|ven behind |it a |gray down;pentameter;iambic;6;Enoch Arden(1859);Alfred Lord Tennyson;
"With Danish barrows;  and a hazel wood,";-+-+-+-+-+;-+-+-+-+-+;"With Dan|ish bar|rows;  and |a haz|el wood,";pentameter;iambic;7;Enoch Arden(1859);Alfred Lord Tennyson;
By autumn nutters haunted, flourishes;-+-+-+-+-+;-+-+-+-+-+;By aut|umn nut|ters haun|ted, flour|ishes;pentameter;iambic;8;Enoch Arden(1859);Alfred Lord Tennyson;
Green in a cuplike hollow of the down.;-+-+-+-+-+;+--+++---+|+--+-+-+-+;Green in |a cup|like hol|low of |the down.;pentameter;iambic;9;Enoch Arden(1859);Alfred Lord Tennyson;
"I am his Highness' dog at Kew;";-+-+-+-+;-+-+-+-+;"I am |his High|ness' dog |at Kew;";tetrameter;iambic;1;Epigram Engraved on the Collar of a Dog Which I Gave to His Royal Highness(1738);Alexander Pope;
Pray tell me, sir, whose dog are you?;-+-+-+-+;-+-++--+;Pray tell |me, sir, |whose dog |are you?;tetrameter;iambic;2;Epigram Engraved on the Collar of a Dog Which I Gave to His Royal Highness(1738);Alexander Pope;
He who binds to himself a joy;-+-+-+-+;+-+--+-+;He who |binds to |himself |a joy;tetrameter;iambic;1;Eternity(Before 1818);William Blake;
Doth the winged life destroy,;-+-+-+-+;+-+-+-+;Doth |the win|ged life |destroy,;tetrameter;iambic;2;Eternity(Before 1818);William Blake;
But he who kisses the joy as it flies;-+-+-+-+;-+-+--+--+;But he |who kis|ses the joy |as it flies;tetrameter;iambic;3;Eternity(Before 1818);William Blake;
Lives in Eternity's sun rise.;-+-+-+-+;+--+-+++;Lives in |Eter|nity's |sun rise.;tetrameter;iambic;4;Eternity(Before 1818);William Blake;
Even such is time, which takes in trust;-+-+-+-+;--+-+-+-+;Even such |is time, |which takes |in trust;tetrameter;iambic;1;Even Such Is Time(1618);Walter Ralegh;
Our youth, our joys, and all we have,;-+-+-+-+;-+-+-+-+;Our youth, |our joys, |and all |we have,;tetrameter;iambic;2;Even Such Is Time(1618);Walter Ralegh;
"And pays us but with age and dust;";-+-+-+-+;-+-+-+-+;"And pays |us but |with age |and dust;";tetrameter;iambic;3;Even Such Is Time(1618);Walter Ralegh;
Who in the dark and silent grave;-+-+-+-+;+--+-+-+;Who in |the dark |and si|lent grave;tetrameter;iambic;4;Even Such Is Time(1618);Walter Ralegh;
When we have wandered all our ways;-+-+-+-+;-+-+-+-+;When we |have wan|dered all |our ways;tetrameter;iambic;5;Even Such Is Time(1618);Walter Ralegh;
"Shuts up the story of our days;";-+-+-+-+;++-+---+;"Shuts up |the sto|ry of |our days;";tetrameter;iambic;6;Even Such Is Time(1618);Walter Ralegh;
And from which earth, and grave, and dust;-+-+-+-+;-+-+-+-+;And from |which earth, |and grave, |and dust;tetrameter;iambic;7;Even Such Is Time(1618);Walter Ralegh;
The Lord shall raise me up, I trust.;-+-+-+-+;-+-+-+-+;The Lord |shall raise |me up, |I trust.;tetrameter;iambic;8;Even Such Is Time(1618);Walter Ralegh;
The world is charged with the grandeur of God.;-+-+-+-+-+;-+-+--++-+;The world |is charged |with the |grandeur |of God.;pentameter;iambic;1;God’s Grandeur(1918);Gerard Manley Hopkins;
"It will flame out, like shining from shook foil;";-+-+-+-+-+;--++-+--++;"It will |flame out, |like shin|ing from |shook foil;";pentameter;iambic;2;God’s Grandeur(1918);Gerard Manley Hopkins;
It gathers to a greatness, like the ooze of oil;-+-+-+-+-+;-+---+-+-+-+;It gath|ers to a great|ness, like |the ooze |of oil;pentameter;iambic;3;God’s Grandeur(1918);Gerard Manley Hopkins;
Crushed. Why do men then now not reck his rod?;-+-+-+-+-+;++---+-+-+;Crushed. Why |do men |then now |not reck |his rod?;pentameter;iambic;4;God’s Grandeur(1918);Gerard Manley Hopkins;
"Generations have trod, have trod, have trod;";-+-+-+-+-+;+-+--+-+-+;"Gener|ations |have trod, |have trod, |have trod;";pentameter;iambic;5;God’s Grandeur(1918);Gerard Manley Hopkins;
"And all is seared with trade; bleared, smeared with toil;";-+-+-+-+-+;-+-+-+++-+;"And all |is seared |with trade; |bleared, smeared |with toil;";pentameter;iambic;6;God’s Grandeur(1918);Gerard Manley Hopkins;
And wears man's smudge and shares man's smell: the soil;-+-+-+-+-+;-+++-+++-+;And wears |man's smudge |and shares |man's smell: |the soil;pentameter;iambic;7;God’s Grandeur(1918);Gerard Manley Hopkins;
Is bare now, nor can foot feel, being shod.;-+-+-+-+-+;-+-+-++--+;Is bare |now, nor |can foot |feel, be|ing shod.;pentameter;iambic;8;God’s Grandeur(1918);Gerard Manley Hopkins;
"And for all this, nature is never spent;";-+-+-+-+-+;--+++--+-+;"And for |all this, |nature |is nev|er spent;";pentameter;iambic;9;God’s Grandeur(1918);Gerard Manley Hopkins;
"There lives the dearest freshness deep down things;";-+-+-+-+-+;-+-+-+-+++;"There lives |the dear|est fresh|ness deep |down things;";pentameter;iambic;10;God’s Grandeur(1918);Gerard Manley Hopkins;
And though the last lights off the black West went;-+-+-+-+-+;-+-++--+++;And though |the last |lights off |the black |West went;pentameter;iambic;11;God’s Grandeur(1918);Gerard Manley Hopkins;
Oh, morning, at the brown brink eastward, springs--;-+-+-+-+-+;++---+++-+;Oh, morn|ing, at |the brown |brink east|ward, springs--;pentameter;iambic;12;God’s Grandeur(1918);Gerard Manley Hopkins;
Because the Holy Ghost over the bent;-+-+-+-+-+;-+-+-++--+;Because |the Ho|ly Ghost |over |the bent;pentameter;iambic;13;God’s Grandeur(1918);Gerard Manley Hopkins;
World broods with warm breast and with ah! bright wings.;-+-+-+-+-+;++-++--+++;World broods |with warm |breast and |with ah! |bright wings.;pentameter;iambic;14;God’s Grandeur(1918);Gerard Manley Hopkins;
Had I the heavens' embroidered cloths,;-+-+-+-+;-+-+--+-+;Had I |the heav|ens' embroi|dered cloths,;tetrameter;iambic;1;He Wishes for the Cloths of Heaven(1899);W.B. Yeats;
Enwrought with golden and silver light,;-+-+-+-+;-+-+--+-+;Enwrought |with gold|en and sil|ver light,;tetrameter;iambic;2;He Wishes for the Cloths of Heaven(1899);W.B. Yeats;
The blue and the dim and the dark cloths;-+-+-+-+;-+--+--++;The blue |and the dim |and the |dark cloths;tetrameter;iambic;3;He Wishes for the Cloths of Heaven(1899);W.B. Yeats;
Of night and light and the half-light,;-+-+-+-+;-+-+--++;Of night |and light |and the |half-light,;tetrameter;iambic;4;He Wishes for the Cloths of Heaven(1899);W.B. Yeats;
I would spread the cloths under your feet:;-+-+-+-+;--+-++--+;I would spread |the cloths |under |your feet:;tetrameter;iambic;5;He Wishes for the Cloths of Heaven(1899);W.B. Yeats;
"But I, being poor, have only my dreams;";-+-+-+-+;-+--+-+--+;"But I, |being poor, |have on|ly my dreams;";tetrameter;iambic;6;He Wishes for the Cloths of Heaven(1899);W.B. Yeats;
"I have spread my dreams under your feet;";-+-+-+-+;--+-++--+;"I have spread |my dreams |under |your feet;";tetrameter;iambic;7;He Wishes for the Cloths of Heaven(1899);W.B. Yeats;
Tread softly because you tread on my dreams.;-+-+-+-+;++--+-+--+|++----+--+;Tread soft|ly because |you tread |on my dreams.;tetrameter;iambic;8;He Wishes for the Cloths of Heaven(1899);W.B. Yeats;
I have desired to go;-+-+-+;+--+--+;I have |desi|red to go;trimeter;iambic;1;Heaven-Haven: A Nun Takes the Veil(1864);Gerard Manley Hopkins;
Where springs not fail,;-+-+;-+++;Where springs |not fail,;;iambic;2;Heaven-Haven: A Nun Takes the Veil(1864);Gerard Manley Hopkins;dimeter
To fields where flies no sharp and sided hail;-+-+-+-+-+;-+-+-+-+-+;To fields |where flies |no sharp |and sid|ed hail;pentameter;iambic;3;Heaven-Haven: A Nun Takes the Veil(1864);Gerard Manley Hopkins;
And a few lilies blow.;-+-+-+;--++-+;And a |few lil|ies blow.;trimeter;iambic;4;Heaven-Haven: A Nun Takes the Veil(1864);Gerard Manley Hopkins;
And I have asked to be;-+-+-+;-+-+-+;And I |have asked |to be;trimeter;iambic;5;Heaven-Haven: A Nun Takes the Veil(1864);Gerard Manley Hopkins;
Where no storms come,;-+-+;-+++;Where no |storms come,;;iambic;6;Heaven-Haven: A Nun Takes the Veil(1864);Gerard Manley Hopkins;dimeter
Where the green swell is in the havens dumb,;-+-+-+-+-+;--++-+-+-+;Where the |green swell |is in |the ha|vens dumb,;pentameter;iambic;7;Heaven-Haven: A Nun Takes the Veil(1864);Gerard Manley Hopkins;
And out of the swing of the sea.;-+-+-+;-+--+--+;And out |of the swing |of the sea.;trimeter;iambic;8;Heaven-Haven: A Nun Takes the Veil(1864);Gerard Manley Hopkins;
Here dead lie we because we did not choose;-+-+-+-+-+;-+++-+-+-+;Here dead |lie we |because |we did |not choose;pentameter;iambic;1;Here Dead Lie We(1936);A.E. Housman;
To live and shame the land from which we sprung.;-+-+-+-+-+;-+-+-+-+-+;To live |and shame |the land |from which |we sprung.;pentameter;iambic;2;Here Dead Lie We(1936);A.E. Housman;
"Life, to be sure, is nothing much to lose;";-+-+-+-+-+;+--+-+-+-+;"Life, to |be sure, |is noth|ing much |to lose;";pentameter;iambic;3;Here Dead Lie We(1936);A.E. Housman;
But young men think it is, and we were young.;-+-+-+-+-+;-+-+-+-+-+|-++--+-+-+;But young |men think |it is, |and we |were young.;pentameter;iambic;4;Here Dead Lie We(1936);A.E. Housman;
Thou hast made me, and shall thy work decay?;-+-+-+-+-+;+-+---++-+;Thou hast |made me, |and shall |thy work |decay?;pentameter;iambic;1;Holy Sonnet 1(1609);John Donne;
"Repair me now, for now mine end doth haste;";-+-+-+-+-+;-+-+-+-+-+;"Repair |me now, |for now |mine end |doth haste;";pentameter;iambic;2;Holy Sonnet 1(1609);John Donne;
I run to death, and death meets me as fast,;-+-+-+-+-+;-+-+-+++-+;I run |to death, |and death |meets me |as fast,;pentameter;iambic;3;Holy Sonnet 1(1609);John Donne;
And all my pleasures are like yesterday.;-+-+-+-+-+;-+-+--++-+;And all |my pleas|ures are |like yes|terday.;pentameter;iambic;4;Holy Sonnet 1(1609);John Donne;
I dare not move my dim eyes any way,;-+-+-+-+-+;-+++-+++-+|-+-+-+++-+;I dare |not move |my dim |eyes a|ny way,;pentameter;iambic;5;Holy Sonnet 1(1609);John Donne;
Despair behind and death before doth cast;-+-+-+-+-+;-+-+-+-+-+;Despair |behind |and death |before |doth cast;pentameter;iambic;6;Holy Sonnet 1(1609);John Donne;
Such terror, and my feeble flesh doth waste;-+-+-+-+-+;++---+-+-+;Such ter|ror, and |my fee|ble flesh |doth waste;pentameter;iambic;7;Holy Sonnet 1(1609);John Donne;
By sin in it, which it towards hell doth weigh.;-+-+-+-+-+;-+-+-+-+-+;By sin |in it, |which it |towards hell |doth weigh.;pentameter;iambic;8;Holy Sonnet 1(1609);John Donne;
Only thou art above, and when towards thee;-+-+-+-+-+;+-+--+-+-+;Only |thou art |above, |and when |towards thee;pentameter;iambic;9;Holy Sonnet 1(1609);John Donne;
"By thy leave I can look, I rise again;";-+-+-+-+-+;-++--+-+-+;"By thy |leave I |can look, |I rise |again;";pentameter;iambic;10;Holy Sonnet 1(1609);John Donne;
But our old subtle foe so tempteth me;-+-+-+-+-+;--++-+-+-+|--++-+++-+;But our |old sub|tle foe |so tempt|eth me;pentameter;iambic;11;Holy Sonnet 1(1609);John Donne;
That not one hour myself I can sustain.;-+-+-+-+-+;-+++-+---+;That not |one hour |myself |I can |sustain.;pentameter;iambic;12;Holy Sonnet 1(1609);John Donne;
Thy grace may wing me to prevent his art,;-+-+-+-+-+;++-+---+-+;Thy grace |may wing |me to |prevent |his art,;pentameter;iambic;13;Holy Sonnet 1(1609);John Donne;
And thou like adamant draw mine iron heart.;-+-+-+-+-+;-+-+--+-+-+;And thou |like ad|amant draw |mine i|ron heart.;pentameter;iambic;14;Holy Sonnet 1(1609);John Donne;
"Batter my heart, three-personed God; for you";-+-+-+-+-+;+--+++-+-+;"Batter |my heart, |three-per|soned God; |for you";pentameter;iambic;1;Holy Sonnet 14(1609);John Donne;
"As yet but knock, breathe, shine, and seek to mend;";-+-+-+-+-+;-+-+++-+-+;"As yet |but knock, |breathe, shine, |and seek |to mend;";pentameter;iambic;2;Holy Sonnet 14(1609);John Donne;
That I may rise and stand, o'erthrow me and bend;-+-+-+-+-+;-+-+-+++--+|-+-+-+-+--+;That I |may rise |and stand, |o'erthrow |me and bend;pentameter;iambic;3;Holy Sonnet 14(1609);John Donne;
Your force to break, blow, burn, and make me new.;-+-+-+-+-+;-+-+++-+-+;Your force |to break, |blow, burn, |and make |me new.;pentameter;iambic;4;Holy Sonnet 14(1609);John Donne;
I, like an usurped town, to another due,;-+-+-+-+-+;+---++--+-+;I, like |an u|surped town, |to anoth|er due,;pentameter;iambic;5;Holy Sonnet 14(1609);John Donne;
"Labor to admit you, but O, to no end;";-+-+-+-+-+;+---+--+-++;"Labor |to admit |you, but |O, to |no end;";pentameter;iambic;6;Holy Sonnet 14(1609);John Donne;
Reason, your viceroy in me, me should defend,;-+-+-+-+-+;+--+--++--+;Reason, |your vice|roy in me, |me should |defend,;pentameter;iambic;7;Holy Sonnet 14(1609);John Donne;
But is captived, and proves weak or untrue.;-+-+-+-+-+;-++--++--+|+-+--++--+;But is |captived, |and proves |weak or |untrue.;pentameter;iambic;8;Holy Sonnet 14(1609);John Donne;
Yet dearly I love you, and would be lovèd fain,;-+-+-+-+-+;-+--+--+-+-+;Yet dear|ly I love |you, and would |be lov|èd fain,;pentameter;iambic;9;Holy Sonnet 14(1609);John Donne;
But am betrothed unto your enemy.;-+-+-+-+-+;-+-++--+-+;But am |betrothed |unto |your en|emy.;pentameter;iambic;10;Holy Sonnet 14(1609);John Donne;
"Divorce me, untie or break that knot again;";-+-+-+-+-+;-+--+-+++-+|-+--+-+-+-+;"Divorce |me, untie |or break |that knot |again;";pentameter;iambic;11;Holy Sonnet 14(1609);John Donne;
Take me to you, imprison me, for I,;-+-+-+-+-+;+-+--+-+-+|+--+-+-+-+;Take me |to you, |impris|on me, |for I,;pentameter;iambic;12;Holy Sonnet 14(1609);John Donne;
Except you enthrall me, never shall be free,;-+-+-+-+-+;-+--+-+-+-+;Except |you enthrall |me, nev|er shall |be free,;pentameter;iambic;13;Holy Sonnet 14(1609);John Donne;
Nor ever chaste, except you ravish me.;-+-+-+-+-+;-+-+-+-+-+;Nor ev|er chaste, |except |you rav|ish me.;pentameter;iambic;14;Holy Sonnet 14(1609);John Donne;
Deep in the shady sadness of a vale;-+-+-+-+-+;+--+-+-+-+;Deep in |the shad|y sad|ness of |a vale;pentameter;iambic;1;Hyperion (lI.1-14)(1820);John Keats;
Far sunken from the healthy breath of morn,;-+-+-+-+-+;++---+-+-+;Far sunk|en from |the health|y breath |of morn,;pentameter;iambic;2;Hyperion (lI.1-14)(1820);John Keats;
Far from the fiery noon, and eve's one star,;-+-+-+-+-+;+--+--+-+++;Far from |the fi|ery noon, |and eve's |one star,;pentameter;iambic;3;Hyperion (lI.1-14)(1820);John Keats;
Sat gray-hair'd Saturn quiet as a stone,;-+-+-+-+-+;++++-+---+;Sat gray-|hair'd Sat|urn qui|et as |a stone,;pentameter;iambic;4;Hyperion (lI.1-14)(1820);John Keats;
"Still as the silence round about his lair;";-+-+-+-+-+;+--+-+-+-+;"Still as |the si|lence round |about |his lair;";pentameter;iambic;5;Hyperion (lI.1-14)(1820);John Keats;
Forest on forest hung above his head;-+-+-+-+-+;+--+-+-+-+;Forest |on for|est hung |above |his head;pentameter;iambic;6;Hyperion (lI.1-14)(1820);John Keats;
Like cloud on cloud. No stir of air was there,;-+-+-+-+-+;-+-+++-+-+;Like cloud |on cloud. |No stir |of air |was there,;pentameter;iambic;7;Hyperion (lI.1-14)(1820);John Keats;
Not so much life as on a summer's day;-+-+-+-+-+;-+-+-+-+-+;Not so |much life |as on |a sum|mer's day;pentameter;iambic;8;Hyperion (lI.1-14)(1820);John Keats;
Robs not one light seed from the feather'd grass,;-+-+-+-+-+;+++++--+-+;Robs not |one light |seed from |the fea|ther'd grass,;pentameter;iambic;9;Hyperion (lI.1-14)(1820);John Keats;
But where the dead leaf fell, there did it rest.;-+-+-+-+-+;-+-++++--+;But where |the dead |leaf fell, |there did |it rest.;pentameter;iambic;10;Hyperion (lI.1-14)(1820);John Keats;
A stream went voiceless by, still deaden'd more;-+-+-+-+-+;-+-+-+++-+;A stream |went voice|less by, |still dead|en'd more;pentameter;iambic;11;Hyperion (lI.1-14)(1820);John Keats;
By reason of his fallen divinity;-+-+-+-+-+;-+-+-+--+-+;By rea|son of |his fall|en divin|ity;pentameter;iambic;12;Hyperion (lI.1-14)(1820);John Keats;
Spreading a shade: the Naiad mid her reeds;-+-+-+-+-+;+--+-+-+-+;Spreading |a shade: |the Nai|ad mid |her reeds;pentameter;iambic;13;Hyperion (lI.1-14)(1820);John Keats;
Press'd her cold finger closer to her lips.;-+-+-+-+-+;+-++-+-+-+|+-++-+---+;Press'd her |cold fin|ger clos|er to |her lips.;pentameter;iambic;14;Hyperion (lI.1-14)(1820);John Keats;
I felt a Fun                     eral, in my Brain,                     ;-+-+-+-+;-+-+-+-+;I felt |a Fun                     |eral, in |my Brain,                     ;tetrameter;iambic;1;I Felt a Funeral in My Brain(1861);Emily Dickinson;
And Mourn                     ers to and fro                     ;-+-+-+;-+-+-+;And Mourn                     |ers to |and fro                     ;trimeter;iambic;2;I Felt a Funeral in My Brain(1861);Emily Dickinson;
Kept tread                     ing- tread                     ing- till it seemed                     ;-+-+-+-+;++-+-+-+|-+-+-+-+;Kept tread                     |ing- tread                     |ing- till |it seemed                     ;tetrameter;iambic;3;I Felt a Funeral in My Brain(1861);Emily Dickinson;
That Sense was break                     ing through-                     ;-+-+-+;-+-+-+;That Sense |was break                     |ing through-                     ;trimeter;iambic;4;I Felt a Funeral in My Brain(1861);Emily Dickinson;
And when they all were seat                     ed,                 ;-+-+-+;-+-+-+-;And when |they all |were seat                     ed,                 ;trimeter;iambic;5;I Felt a Funeral in My Brain(1861);Emily Dickinson;
A serv                 ice like a Drum-                 ;-+-+-+;-+-+-+;A serv                 |ice like |a Drum-                 ;trimeter;iambic;6;I Felt a Funeral in My Brain(1861);Emily Dickinson;
Kept beat                 ing- beat                 ing- till I thought                 ;-+-+-+-+;++-+-+-+|-+-+-+-+;Kept beat                 |ing- beat                 |ing- till |I thought                 ;tetrameter;iambic;7;I Felt a Funeral in My Brain(1861);Emily Dickinson;
My mind  was go                 ing numb-                 ;-+-+-+;-+-+-+;My mind  |was go                 |ing numb-                 ;trimeter;iambic;8;I Felt a Funeral in My Brain(1861);Emily Dickinson;
And then I heard them lift a Box                 ;-+-+-+-+;-+-+-+-+;And then |I heard |them lift |a Box                 ;tetrameter;iambic;9;I Felt a Funeral in My Brain(1861);Emily Dickinson;
And creak a cross my Soul                 ;-+-+-+;-+-+-+;And creak |a cross |my Soul                 ;trimeter;iambic;10;I Felt a Funeral in My Brain(1861);Emily Dickinson;
With those same Boots of Lead, a                 gain,             ;-+-+-+-+;--++-+-+;With those |same Boots |of Lead, |a                 gain,             ;tetrameter;iambic;11;I Felt a Funeral in My Brain(1861);Emily Dickinson;
Then Space- be gan to toll,             ;-+-+-+;-+-+-+;Then Space- |be gan |to toll,             ;trimeter;iambic;12;I Felt a Funeral in My Brain(1861);Emily Dickinson;
As all the Hea             vens were a Bell,             ;-+-+-+-+;-+-+-+-+;As all |the Hea             |vens were |a Bell,             ;tetrameter;iambic;13;I Felt a Funeral in My Brain(1861);Emily Dickinson;
And Be             ing, but an Ear,             ;-+-+-+;-+-+-+;And Be             |ing, but |an Ear,             ;trimeter;iambic;14;I Felt a Funeral in My Brain(1861);Emily Dickinson;
And I, and Si             lence, some strange Race,             ;-+-+-+-+;-+-+-+++;And I, |and Si             |lence, some |strange Race,             ;tetrameter;iambic;15;I Felt a Funeral in My Brain(1861);Emily Dickinson;
Wrecked, sol             i tar         y, here-         ;-+-+-+;++-+-+;Wrecked, sol             |i tar         |y, here-         ;trimeter;iambic;16;I Felt a Funeral in My Brain(1861);Emily Dickinson;
And then a Plank in Rea         son broke,         ;-+-+-+-+;-+-+-+-+;And then |a Plank |in Rea         |son broke,         ;tetrameter;iambic;17;I Felt a Funeral in My Brain(1861);Emily Dickinson;
And I dropped down, and down-         ;-+-+-+;--++-+|-+++-+;And I |dropped down, |and down-         ;trimeter;iambic;18;I Felt a Funeral in My Brain(1861);Emily Dickinson;
And hit a World, at ev         ery plunge,         ;-+-+-+-+;-+-+-+-+;And hit |a World, |at ev         |ery plunge,         ;tetrameter;iambic;19;I Felt a Funeral in My Brain(1861);Emily Dickinson;
And Fin         ished know         ing- then-         ;-+-+-+;-+-+-+;And Fin         |ished know         |ing- then-         ;trimeter;iambic;20;I Felt a Funeral in My Brain(1861);Emily Dickinson;
I look into my glass,;-+-+-+;-++--+|-+-+-+;I look |into |my glass,;trimeter;iambic;1;I Look Into My Glass(1898);Thomas Hardy;
And view my wasting skin,;-+-+-+;-+-+-+;And view |my wast|ing skin,;trimeter;iambic;2;I Look Into My Glass(1898);Thomas Hardy;
"And say, ""Would God it came to pass";-+-+-+-+;-+++-+-+;"And say, |""Would God |it came |to pass";tetrameter;iambic;3;I Look Into My Glass(1898);Thomas Hardy;
"My heart had shrunk as thin!""";-+-+-+;-+-+-+;"My heart |had shrunk |as thin!""";trimeter;iambic;4;I Look Into My Glass(1898);Thomas Hardy;
For then, I, undistrest;-+-+-+;-+-+-+;For then, |I, un|distrest;trimeter;iambic;5;I Look Into My Glass(1898);Thomas Hardy;
By hearts grown cold to me,;-+-+-+;-+++-+;By hearts |grown cold |to me,;trimeter;iambic;6;I Look Into My Glass(1898);Thomas Hardy;
Could lonely wait my endless rest;-+-+-+-+;-+-+-+-+;Could lone|ly wait |my end|less rest;tetrameter;iambic;7;I Look Into My Glass(1898);Thomas Hardy;
With equanimity.;-+-+-+;-+-+-+;With e|quani|mity.;trimeter;iambic;8;I Look Into My Glass(1898);Thomas Hardy;
But Time to make me grieve,;-+-+-+;-+-+-+;But Time |to make |me grieve,;trimeter;iambic;9;I Look Into My Glass(1898);Thomas Hardy;
"Part steals, lets part abide;";++-+-+;++-+-+;"Part steals, |lets part |abide;";trimeter;iambic;10;I Look Into My Glass(1898);Thomas Hardy;
And shakes this fragile frame at eve;-+-+-+-+;-+-+-+-+;And shakes |this frag|ile frame |at eve;tetrameter;iambic;11;I Look Into My Glass(1898);Thomas Hardy;
With throbbings of noontide.;-+-+-+;-+--++;With throb|bings of |noontide.;trimeter;iambic;12;I Look Into My Glass(1898);Thomas Hardy;
Dark house, by which once more I stand;-+-+-+-+;++--++-+|++-+-+-+;Dark house, |by which |once more |I stand;tetrameter;iambic;1;In Memoriam (section 7)(1850);Alfred Lord Tennyson;
Here in the long unlovely street,;-+-+-+-+;+--+-+-+;Here in |the long |unlove|ly street,;tetrameter;iambic;2;In Memoriam (section 7)(1850);Alfred Lord Tennyson;
